speed,lat,lon,time
0,45.1801307075825,-1.08417889113391,2015-11-20 12:41:21
0,45.1801307914015,-1.08417880731487,2015-11-20 12:41:22
0,45.1801307914015,-1.08417880731487,2015-11-20 12:41:23
0,45.1801307914015,-1.08417872349584,2015-11-20 12:41:24
0,45.1801307914015,-1.08417872349584,2015-11-20 12:41:25
0,45.1801307914015,-1.08417872349584,2015-11-20 12:41:26
0,45.1801308752205,-1.08417855585778,2015-11-20 12:41:27
0,45.1801307914015,-1.08417855585778,2015-11-20 12:41:28
0,45.1801307914015,-1.08417855585778,2015-11-20 12:41:29
0,45.1801307914015,-1.08417855585778,2015-11-20 12:41:30
0,45.1801307914015,-1.08417855585778,2015-11-20 12:41:31
0,45.1801307914015,-1.08417872349584,2015-11-20 12:41:32
0,45.1801307075825,-1.08417872349584,2015-11-20 12:41:33
0,45.1801307075825,-1.08417872349584,2015-11-20 12:41:34
0,45.1801307075825,-1.08417872349584,2015-11-20 12:41:35
0,45.1801307075825,-1.08417872349584,2015-11-20 12:41:36
0,45.1801305399444,-1.08417872349584,2015-11-20 12:41:37
0,45.1801305399444,-1.08417872349584,2015-11-20 12:41:38
0,45.1801305399444,-1.08417872349584,2015-11-20 12:41:39
0,45.1801305399444,-1.08417855585778,2015-11-20 12:41:40
0,45.1801305399444,-1.08417855585778,2015-11-20 12:41:41
0,45.1801305399444,-1.08417855585778,2015-11-20 12:41:42
0,45.1801305399444,-1.08417855585778,2015-11-20 12:41:43
0,45.1801305399444,-1.08417847203875,2015-11-20 12:41:44
0,45.1801305399444,-1.08417847203875,2015-11-20 12:41:45
0,45.1801305399444,-1.08417838821972,2015-11-20 12:41:46
0,45.1801307075825,-1.08417830440068,2015-11-20 12:41:47
0,45.1801307075825,-1.08417830440068,2015-11-20 12:41:48
0,45.1801307075825,-1.08417830440068,2015-11-20 12:41:49
0,45.1801307075825,-1.08417830440068,2015-11-20 12:41:50
0,45.1801307075825,-1.08417822058165,2015-11-20 12:41:51
0,45.1801307075825,-1.08417805294359,2015-11-20 12:41:52
0,45.1801307075825,-1.08417805294359,2015-11-20 12:41:53
0,45.1801307075825,-1.08417805294359,2015-11-20 12:41:54
0,45.1801307075825,-1.08417796912456,2015-11-20 12:41:56
0,45.1801307075825,-1.08417796912456,2015-11-20 12:41:57
0,45.1801307075825,-1.08417788530553,2015-11-20 12:41:58
0,45.1801307075825,-1.08417788530553,2015-11-20 12:41:59
0,45.1801307075825,-1.08417788530553,2015-11-20 12:42:00
0.06,45.1801304561254,-1.08417461636329,2015-11-20 12:42:01
0,45.1801303723063,-1.08417461636329,2015-11-20 12:42:02
0,45.1801304561254,-1.08417453254426,2015-11-20 12:42:03
0,45.1801304561254,-1.08417453254426,2015-11-20 12:42:04
0.46,45.1801299532112,-1.08417679565811,2015-11-20 12:42:05
0.659,45.1801303723063,-1.0841862672087,2015-11-20 12:42:06
0.509,45.1801288635638,-1.08419666076863,2015-11-20 12:42:07
0.07,45.1801276062783,-1.08419892388249,2015-11-20 12:42:08
0.249,45.1801282768306,-1.08419355946446,2015-11-20 12:42:09
0.109,45.1801289473828,-1.08419029052222,2015-11-20 12:42:10
0.169,45.180129534116,-1.084189703789,2015-11-20 12:42:11
0.2,45.180129534116,-1.08418961996997,2015-11-20 12:42:12
0.05,45.1801281930115,-1.08418836268449,2015-11-20 12:42:13
0.219,45.1801278577354,-1.08418685394192,2015-11-20 12:42:14
0.2,45.1801283606496,-1.08418408791387,2015-11-20 12:42:15
0.169,45.1801287797447,-1.08418341736162,2015-11-20 12:42:16
0.009,45.1801287797447,-1.08418400409484,2015-11-20 12:42:17
0,45.1801288635638,-1.08418400409484,2015-11-20 12:42:18
0,45.1801288635638,-1.08418400409484,2015-11-20 12:42:19
0,45.1801288635638,-1.08418400409484,2015-11-20 12:42:20
0,45.1801288635638,-1.08418400409484,2015-11-20 12:42:21
0,45.1801288635638,-1.08418400409484,2015-11-20 12:42:22
0,45.1801288635638,-1.08418400409484,2015-11-20 12:42:23
0,45.1801288635638,-1.08418400409484,2015-11-20 12:42:24
0,45.1801288635638,-1.08418400409484,2015-11-20 12:42:25
0,45.1801288635638,-1.08418400409484,2015-11-20 12:42:26
0,45.1801288635638,-1.08418400409484,2015-11-20 12:42:27
0,45.1801288635638,-1.08418400409484,2015-11-20 12:42:28
0,45.1801288635638,-1.08418408791387,2015-11-20 12:42:29
0,45.1801288635638,-1.08418408791387,2015-11-20 12:42:30
0,45.1801288635638,-1.08418408791387,2015-11-20 12:42:31
0,45.1801288635638,-1.08418408791387,2015-11-20 12:42:32
0,45.1801288635638,-1.08418408791387,2015-11-20 12:42:33
0,45.1801287797447,-1.0841841717329,2015-11-20 12:42:34
0,45.1801287797447,-1.0841841717329,2015-11-20 12:42:35
0,45.1801287797447,-1.0841841717329,2015-11-20 12:42:36
0,45.1801287797447,-1.0841841717329,2015-11-20 12:42:37
0,45.1801287797447,-1.0841841717329,2015-11-20 12:42:38
0,45.1801287797447,-1.0841841717329,2015-11-20 12:42:39
0,45.1801288635638,-1.0841841717329,2015-11-20 12:42:40
0,45.1801287797447,-1.0841841717329,2015-11-20 12:42:41
0,45.1801287797447,-1.0841841717329,2015-11-20 12:42:42
0,45.1801288635638,-1.0841841717329,2015-11-20 12:42:43
0.129,45.1801290312018,-1.08418492610419,2015-11-20 12:42:44
0.319,45.180129366478,-1.08418182480002,2015-11-20 12:42:45
0.079,45.1801298693922,-1.08418048369551,2015-11-20 12:42:46
0.28,45.180129450297,-1.08418358499968,2015-11-20 12:42:47
0,45.1801288635638,-1.08418643484676,2015-11-20 12:42:48
0,45.1801288635638,-1.08418651866579,2015-11-20 12:42:49
0.12,45.1801285282876,-1.0841860157516,2015-11-20 12:42:50
0.1,45.1801274386402,-1.08418593193257,2015-11-20 12:42:51
0,45.1801274386402,-1.08418609957063,2015-11-20 12:42:52
0.129,45.1801283606496,-1.0841862672087,2015-11-20 12:42:53
0.019,45.1801286959257,-1.08418568047548,2015-11-20 12:42:54
0.28,45.1801300370302,-1.08418526138032,2015-11-20 12:42:55
0.629,45.1801326354202,-1.08417947786713,2015-11-20 12:42:56
0.1,45.1801345632579,-1.08417361053491,2015-11-20 12:42:57
0.4,45.1801325516012,-1.08417545455361,2015-11-20 12:42:58
0.14,45.1801291988399,-1.08417889113391,2015-11-20 12:42:59
0.129,45.180126851907,-1.08418090279067,2015-11-20 12:43:00
0.07,45.1801250078883,-1.0841825791713,2015-11-20 12:43:01
0,45.1801248402502,-1.08418241153324,2015-11-20 12:43:02
0,45.1801248402502,-1.08418249535227,2015-11-20 12:43:03
0,45.1801248402502,-1.08418249535227,2015-11-20 12:43:04
0,45.1801248402502,-1.08418249535227,2015-11-20 12:43:05
0,45.1801248402502,-1.08418249535227,2015-11-20 12:43:06
0.07,45.1801211522129,-1.08418350118065,2015-11-20 12:43:07
0.2,45.1801205654796,-1.08418551283741,2015-11-20 12:43:08
0.29,45.1801180509087,-1.08418936851287,2015-11-20 12:43:09
0.78,45.1801169612613,-1.0841965769496,2015-11-20 12:43:10
1.18,45.1801144466903,-1.0842124187466,2015-11-20 12:43:11
1.129,45.1801103395578,-1.08423127802873,2015-11-20 12:43:12
1.2,45.1801020414736,-1.08424695218767,2015-11-20 12:43:13
1.259,45.1800905582663,-1.08425885449017,2015-11-20 12:43:14
1.359,45.1800775663164,-1.08426908041204,2015-11-20 12:43:15
1.29,45.1800672565755,-1.08427989306713,2015-11-20 12:43:16
1.359,45.1800588746723,-1.08429682451154,2015-11-20 12:43:17
1.399,45.1800543484446,-1.08431518087949,2015-11-20 12:43:18
1.33,45.1800508280452,-1.0843334534284,2015-11-20 12:43:19
0.869,45.1800459665414,-1.08434795412089,2015-11-20 12:43:20
1.2,45.180039596295,-1.08436170044209,2015-11-20 12:43:21
1.37,45.1800268558022,-1.08437812897231,2015-11-20 12:43:22
1.399,45.1800150373187,-1.08438500213291,2015-11-20 12:43:23
1.339,45.1800017939117,-1.08439313257899,2015-11-20 12:43:24
1.54,45.1799876284953,-1.08440486724343,2015-11-20 12:43:25
1.48,45.179973546898,-1.08441567989852,2015-11-20 12:43:26
1.54,45.1799587947484,-1.08442355888751,2015-11-20 12:43:27
1.589,45.1799449646082,-1.08443311425712,2015-11-20 12:43:28
1.41,45.1799301286396,-1.08444166379836,2015-11-20 12:43:29
1.52,45.1799157955851,-1.08444887223509,2015-11-20 12:43:30
1.509,45.1798990317788,-1.08445951725212,2015-11-20 12:43:31
1.619,45.1798829385247,-1.08446907262173,2015-11-20 12:43:32
1.529,45.1798691083845,-1.08447737070587,2015-11-20 12:43:33
1.44,45.1798564517107,-1.08448541733292,2015-11-20 12:43:34
1.46,45.1798444655891,-1.08449338014093,2015-11-20 12:43:35
1.29,45.1798328985628,-1.08450125912991,2015-11-20 12:43:36
1.39,45.1798223373648,-1.08450679118601,2015-11-20 12:43:37
1.419,45.1798109379764,-1.08451240706113,2015-11-20 12:43:38
1.44,45.179799203312,-1.0845191964027,2015-11-20 12:43:39
1.5,45.1797879715618,-1.08452699157265,2015-11-20 12:43:40
1.54,45.1797748957928,-1.08453931297032,2015-11-20 12:43:41
1.5,45.1797617362048,-1.08455331074861,2015-11-20 12:43:42
1.589,45.1797501691785,-1.08456772762207,2015-11-20 12:43:43
1.549,45.1797380992379,-1.08458298268584,2015-11-20 12:43:44
1.449,45.1797277056779,-1.0845955555406,2015-11-20 12:43:45
1.5,45.1797161386516,-1.08460670347182,2015-11-20 12:43:46
1.39,45.1797049907203,-1.08461433100371,2015-11-20 12:43:47
1.35,45.1796942618843,-1.08462120416431,2015-11-20 12:43:48
1.319,45.1796824434008,-1.08462690385847,2015-11-20 12:43:49
1.44,45.1796698705461,-1.08463335792391,2015-11-20 12:43:50
1.429,45.1796573815103,-1.0846425780174,2015-11-20 12:43:51
1.509,45.1796438028272,-1.08465238484411,2015-11-20 12:43:52
1.39,45.1796319843437,-1.08466210785179,2015-11-20 12:43:53
1.41,45.1796210878696,-1.08467417779236,2015-11-20 12:43:54
1.39,45.1796109457668,-1.08468817557066,2015-11-20 12:43:55
1.44,45.1796016418542,-1.08470351445346,2015-11-20 12:43:56
1.52,45.1795918350275,-1.08471952388852,2015-11-20 12:43:57
1.429,45.179582531115,-1.08473385694295,2015-11-20 12:43:58
1.529,45.1795721375551,-1.08474818999737,2015-11-20 12:43:59
1.52,45.1795619954522,-1.08476160104245,2015-11-20 12:44:00
1.58,45.1795517695304,-1.08477559882074,2015-11-20 12:44:01
1.52,45.1795414597895,-1.0847902671513,2015-11-20 12:44:02
1.5,45.1795312338676,-1.08480409729153,2015-11-20 12:44:03
1.569,45.1795210917648,-1.08481675396532,2015-11-20 12:44:04
1.279,45.1795127098616,-1.08482857244879,2015-11-20 12:44:05
1.22,45.1795056690629,-1.08484315696031,2015-11-20 12:44:06
1.35,45.1795000531878,-1.08485857966215,2015-11-20 12:44:07
1.39,45.1794932638462,-1.08487517583043,2015-11-20 12:44:08
1.469,45.1794860554095,-1.08489403511257,2015-11-20 12:44:09
1.39,45.1794824511911,-1.08491406786115,2015-11-20 12:44:10
1.44,45.1794816968198,-1.08493435206683,2015-11-20 12:44:11
1.549,45.179479433706,-1.08495606119604,2015-11-20 12:44:12
1.6,45.1794780926015,-1.08497785414429,2015-11-20 12:44:13
1.549,45.179479349887,-1.0849984736261,2015-11-20 12:44:14
1.6,45.1794806071724,-1.08501951220306,2015-11-20 12:44:15
1.54,45.1794801042582,-1.08504189188453,2015-11-20 12:44:16
1.41,45.1794806909915,-1.08506117026182,2015-11-20 12:44:17
1.449,45.1794808586295,-1.08508061627718,2015-11-20 12:44:18
1.37,45.1794806909915,-1.08511347333762,2015-11-20 12:44:20
1.509,45.1794749074783,-1.08513182970557,2015-11-20 12:44:21
1.619,45.1794682019557,-1.08514959934029,2015-11-20 12:44:22
1.549,45.179460993519,-1.08516586023245,2015-11-20 12:44:23
1.54,45.1794535336252,-1.08518362986717,2015-11-20 12:44:24
1.65,45.1794381109233,-1.08521833094631,2015-11-20 12:44:26
1.549,45.1794302319344,-1.08523425656233,2015-11-20 12:44:27
1.56,45.1794218500312,-1.08525152328287,2015-11-20 12:44:28
1.529,45.1794143901374,-1.08526912527953,2015-11-20 12:44:29
1.61,45.1794073493387,-1.08528672727619,2015-11-20 12:44:30
1.6,45.179400140902,-1.08530382635866,2015-11-20 12:44:31
1.569,45.1793926810081,-1.08532075780307,2015-11-20 12:44:32
1.56,45.1793849696572,-1.0853382759807,2015-11-20 12:44:33
1.6,45.1793770906683,-1.08535537506317,2015-11-20 12:44:34
1.6,45.1793694631364,-1.08537096540307,2015-11-20 12:44:35
1.509,45.1793620870616,-1.08538580137169,2015-11-20 12:44:36
1.449,45.1793547948058,-1.08540046970224,2015-11-20 12:44:37
1.469,45.1793482569213,-1.08541555712795,2015-11-20 12:44:38
1.509,45.1793418028559,-1.08543131510591,2015-11-20 12:44:39
1.5,45.1793351811524,-1.08544740836001,2015-11-20 12:44:40
1.6,45.1793279727157,-1.08546400452829,2015-11-20 12:44:41
1.52,45.1793201775457,-1.08547925959206,2015-11-20 12:44:42
1.569,45.1793117956425,-1.08549409556067,2015-11-20 12:44:43
1.5,45.1793040842916,-1.08551018881477,2015-11-20 12:44:44
1.429,45.1792976302262,-1.08552661734498,2015-11-20 12:44:45
1.429,45.179291930532,-1.08554212386585,2015-11-20 12:44:46
1.35,45.1792848059143,-1.08555771420575,2015-11-20 12:44:47
1.419,45.1792776812966,-1.08557280163146,2015-11-20 12:44:48
1.44,45.1792708919551,-1.08558839197136,2015-11-20 12:44:49
1.529,45.1792631806041,-1.08560373085417,2015-11-20 12:44:50
1.469,45.1792550501581,-1.08561906973697,2015-11-20 12:44:51
1.44,45.179247003531,-1.08563415716268,2015-11-20 12:44:52
1.399,45.1792397112753,-1.08564916076936,2015-11-20 12:44:53
1.39,45.179233676305,-1.08566491874733,2015-11-20 12:44:54
1.429,45.1792278089728,-1.08568076054432,2015-11-20 12:44:55
1.44,45.1792207681741,-1.08569626706519,2015-11-20 12:44:56
1.469,45.1792134759183,-1.0857113544909,2015-11-20 12:44:57
1.52,45.1792057645674,-1.08572778302112,2015-11-20 12:44:58
1.46,45.1791981370355,-1.08574328954199,2015-11-20 12:44:59
1.44,45.1791898389514,-1.08575829314867,2015-11-20 12:45:00
1.469,45.1791817085053,-1.0857739673076,2015-11-20 12:45:01
1.429,45.1791740809734,-1.08579006056169,2015-11-20 12:45:02
1.44,45.1791664534415,-1.08580539944449,2015-11-20 12:45:03
1.419,45.1791591611858,-1.08582065450827,2015-11-20 12:45:04
1.429,45.1791522880252,-1.0858363286672,2015-11-20 12:45:05
1.44,45.1791449957694,-1.0858519190071,2015-11-20 12:45:06
